"filename", "language", "Markdown", "Dart", "JavaScript", "CSS", "C++", "JSON", "HTML", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\chart_legend.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\chip_selector_modal.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 99
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\custom_drop_down.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 33, 266
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\expanded_child_kill_entry.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\hunting_time_list_entry.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 163
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\kill_list_entry.dart", "Dart", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 318
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\no_data_found.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\value_selector_modal.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 57
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 4, 23
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 89, 10, 155
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\test\widget_test.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 32
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 16, 6, 62
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\splash\splash.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\splash\style.css", "CSS", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 73, 12120, 31, 10195, 512, 1000, 319, 59, 50, 761, 102, 8, 1003, 3960, 30193
